Timestamp,Host Name,Status,Average Time
2025-04-19 17:40:29,Uniwersytet Szczecin,Success,24.281
2025-04-19 17:40:01,Google DNS,Success,11.962
2025-04-19 17:39:58,Google DNS Secondary,Success,19.996
2025-04-19 17:39:58,Cloudflare DNS,Success,11.384
2025-04-19 17:39:52,Uniwersytet Szczecin,Success,34.802
2025-04-19 17:39:21,Google DNS Secondary,Success,21.536
2025-04-19 17:39:21,Cloudflare DNS,Success,16.126
2025-04-19 17:39:14,Uniwersytet Szczecin,Success,33.431
2025-04-19 17:38:54,Google DNS,Success,38.45
2025-04-19 17:38:43,Google DNS Secondary,Success,19.508
2025-04-19 17:38:43,Cloudflare DNS,Success,20.498
2025-04-19 17:38:06,Google DNS Secondary,Success,11.882
2025-04-19 17:38:06,Cloudflare DNS,Success,13.607
2025-04-19 17:37:29,Google DNS Secondary,Success,22.371
2025-04-19 17:37:29,Cloudflare DNS,Success,24.186
2025-04-19 17:36:52,Cloudflare DNS,Success,16.117
2025-04-19 17:36:52,Google DNS Secondary,Success,17.436
2025-04-19 17:36:15,Cloudflare DNS,Success,25.58
2025-04-19 17:36:15,Google DNS Secondary,Success,24.022
2025-04-19 17:35:38,Google DNS Secondary,Success,14.777
2025-04-19 17:35:38,Cloudflare DNS,Success,13.54
2025-04-19 17:35:01,Google DNS Secondary,Success,16.881
2025-04-19 17:35:01,Cloudflare DNS,Success,14.37
2025-04-19 17:34:24,Google DNS Secondary,Success,17.9
2025-04-19 17:34:24,Cloudflare DNS,Success,17.651
2025-04-19 17:33:47,Google DNS Secondary,Success,15.145
2025-04-19 17:33:47,Cloudflare DNS,Success,13.756
2025-04-19 17:33:10,Cloudflare DNS,Success,15.222
2025-04-19 17:33:10,Google DNS Secondary,Success,16.235
2025-04-19 17:32:33,Google DNS Secondary,Success,14.373
2025-04-19 17:32:33,Google DNS,Success,13.895
2025-04-19 17:32:33,Cloudflare DNS,Success,13.468
